date,gdp_diff,cpi,interest,ppi,une,cps,gdp_gap,lm_positive,lm_negative,vader_positive,vader_negative,words_count,recession,cpi_diff,interest_diff,cps_diff,une_diff,subprime,covid
2012-06-01,0.003050040930304476,2.4,3.4056,0.685094708432951,11.5,23.7,0.036339049478087304,0.0209774089442139,0.0502535730751498,0.088,0.062,4338,1,0.0,-0.12139999999999995,-2.6999999999999993,0.09999999999999964,0,0
2012-07-01,0.002995359482497406,2.4,3.2481,0.213973016978135,11.5,25.2,-0.045292271073250845,0.0292083013066871,0.0476556495003843,0.145,0.05,2602,1,0.0,-0.1575000000000002,1.5,0.0,0,0
2012-08-01,-0.0032631632398931743,2.6,3.0094,1.11524429054623,11.6,29.7,-0.13487091925510697,0.0224237843285462,0.073066263542454,0.118,0.107,3969,1,0.20000000000000018,-0.23870000000000013,4.5,0.09999999999999964,0,0
2012-09-01,-0.011252066975202979,2.6,2.4178,1.36259106276702,11.7,31.4,-0.23449010149930416,0.0321074138937536,0.0729713952130764,0.142,0.081,1713,1,0.0,-0.5915999999999997,1.6999999999999993,0.09999999999999964,0,0
2012-10-01,-0.011777462906096048,2.5,2.3055,1.53918897178081,11.9,30.4,-0.3370397693842335,0.0350877192982456,0.0806069227121858,0.134,0.104,2109,1,-0.10000000000000009,-0.11230000000000029,-1.0,0.20000000000000107,0,0
2012-11-01,9.960272119258207e-05,2.2,2.2467,0.759131564561982,12.0,29.7,-0.4304546366997357,0.0427509293680297,0.0631970260223048,0.154,0.096,1614,1,-0.2999999999999998,-0.05879999999999974,-0.6999999999999993,0.09999999999999964,0,0
2012-12-01,0.02518538296909867,2.2,2.099,0.751300847028908,12.0,27.3,-0.5018397586336789,0.0348765432098765,0.0759259259259259,0.12,0.102,3240,1,0.0,-0.14769999999999994,-2.3999999999999986,0.0,0,0
2013-01-01,0.05940021147900154,2.0,2.393,0.568546047561326,12.2,25.4,-0.542349964049393,0.024396782841823,0.0646112600536193,0.094,0.084,3730,1,-0.20000000000000018,0.2939999999999996,-1.9000000000000021,0.1999999999999993,0,0
2013-02-01,0.10007235585970875,1.9,2.8582,0.93867480358902,12.2,22.3,-0.5457769642181205,0.0218998083766767,0.0714481248289077,0.104,0.055,3653,0,-0.10000000000000009,0.4652000000000003,-3.099999999999998,0.0,0,0
2013-03-01,0.13923123855668962,1.7,3.0276,0.0028814534800679,12.2,22.5,-0.5138453847737594,0.0282021151586369,0.0493537015276145,0.117,0.043,2553,0,-0.19999999999999996,0.1694,0.1999999999999993,0.0,0,0
2013-04-01,0.16755409698811263,1.2,2.8551,-0.50758335341365,12.2,19.4,-0.4575647127539071,0.0355029585798816,0.0528599605522682,0.132,0.059,2535,0,-0.5,-0.17249999999999988,-3.1000000000000014,0.0,0,0
2013-05-01,0.18143601290529432,1.4,2.6855,-0.174046361603364,12.2,19.0,-0.3915136697376056,0.0270935960591133,0.052076002814919,0.146,0.044,2842,0,0.19999999999999996,-0.16959999999999997,-0.3999999999999986,0.0,0,0
2013-06-01,0.18221686175630225,1.6,3.0709,0.668489446556636,12.1,19.8,-0.3288993265284432,0.0283687943262411,0.0622537431048069,0.153,0.023,1269,0,0.20000000000000018,0.38539999999999974,0.8000000000000007,-0.09999999999999964,0,0
2013-07-01,0.17532464890889798,1.6,3.1011,1.10448186009543,12.1,19.0,-0.27747356011303737,0.0291757840991976,0.0685630926331145,0.123,0.068,1371,0,0.0,0.030200000000000227,-0.8000000000000007,0.0,0,0
2013-08-01,0.16526125556170257,1.3,3.0967,0.562032931344,12.1,20.6,-0.24046352604840138,0.032258064516129,0.064516129032258,0.13,0.113,1457,0,-0.30000000000000004,-0.004400000000000404,1.6000000000000014,0.0,0,0
2013-09-01,0.15617389821449024,1.1,3.407,-0.0135998779681512,12.1,18.5,-0.21692989439456767,0.0400219298245614,0.0685307017543859,0.112,0.064,1824,0,-0.19999999999999996,0.31030000000000024,-2.1000000000000014,0.0,0,0
2013-10-01,0.1526576991718116,0.7,3.1626,-0.230355918738183,12.0,20.7,-0.20132151405098853,0.0316239316239316,0.0341880341880341,0.112,0.024,2340,0,-0.40000000000000013,-0.24440000000000017,2.1999999999999993,-0.09999999999999964,0,0
2013-11-01,0.15527298357699237,0.9,3.1712,0.178646735837532,12.0,17.9,-0.18751184419782874,0.0303752233472304,0.0756402620607504,0.145,0.097,1679,0,0.20000000000000007,0.008599999999999941,-2.8000000000000007,0.0,0,0
2013-12-01,0.16089833814390886,0.8,3.3132,0.679434127159641,12.0,18.7,-0.17248177664062325,0.0313152400835073,0.0553235908141962,0.115,0.074,1916,0,-0.09999999999999998,0.14200000000000035,0.8000000000000007,0.0,0,0
